https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume XRP,Volume USDT,tradecount
1609725600000,2021-01-04 02:00:00,XRP/USDT,0.23206000,0.23550000,0.23013000,0.23126000,54177167.90000000,12596711.46081700,22536
1609722000000,2021-01-04 01:00:00,XRP/USDT,0.22718000,0.23382000,0.22638000,0.23205000,53955847.60000000,12378196.55904400,21795
1609718400000,2021-01-04 00:00:00,XRP/USDT,0.22540000,0.22836000,0.22250000,0.22724000,46962749.80000000,10572410.10678200,16993
1609714800000,2021-01-03 23:00:00,XRP/USDT,0.22490000,0.22929000,0.22310000,0.22540000,49772907.30000000,11267840.15116800,20250
1609711200000,2021-01-03 22:00:00,XRP/USDT,0.22802000,0.22819000,0.22386000,0.22491000,27554064.80000000,6227208.59283700,12831
1609707600000,2021-01-03 21:00:00,XRP/USDT,0.22501000,0.22950000,0.22476000,0.22803000,33846987.70000000,7698826.99109100,15179
1609704000000,2021-01-03 20:00:00,XRP/USDT,0.22508000,0.22654000,0.22282000,0.22500000,39815890.40000000,8945765.25716600,16368
1609700400000,2021-01-03 19:00:00,XRP/USDT,0.22530000,0.22635000,0.22265000,0.22509000,30097336.20000000,6764133.75314800,13512
1609696800000,2021-01-03 18:00:00,XRP/USDT,0.23117000,0.23220000,0.22082000,0.22533000,72253450.30000000,16347468.70862000,28593
1609693200000,2021-01-03 17:00:00,XRP/USDT,0.22808000,0.23852000,0.22790000,0.23120000,120025182.60000000,28012321.26879800,52174
1609689600000,2021-01-03 16:00:00,XRP/USDT,0.22100000,0.23550000,0.21913000,0.22807000,134465088.50000000,30417286.51373800,50798
1609686000000,2021-01-03 15:00:00,XRP/USDT,0.21975000,0.22328000,0.21710000,0.22100000,61561930.50000000,13569733.08711800,21914
1609682400000,2021-01-03 14:00:00,XRP/USDT,0.22112000,0.22463000,0.21800000,0.21975000,59232114.20000000,13115870.64284400,22022
1609678800000,2021-01-03 13:00:00,XRP/USDT,0.22329000,0.22499000,0.22000000,0.22111000,45369658.80000000,10068168.02381900,19332
1609675200000,2021-01-03 12:00:00,XRP/USDT,0.22105000,0.22465000,0.22100000,0.22330000,40968581.60000000,9115651.51404900,17969
1609671600000,2021-01-03 11:00:00,XRP/USDT,0.21849000,0.22648000,0.21847000,0.22102000,72915899.20000000,16225780.36508500,27273
1609668000000,2021-01-03 10:00:00,XRP/USDT,0.21912000,0.21925000,0.21600000,0.21847000,41774861.60000000,9092111.49535800,16466
1609664400000,2021-01-03 09:00:00,XRP/USDT,0.21810000,0.22215000,0.21779000,0.21913000,48926847.00000000,10751783.38998000,18615
1609660800000,2021-01-03 08:00:00,XRP/USDT,0.21785000,0.21999000,0.21693000,0.21809000,35469727.20000000,7746714.12108300,16155
1609657200000,2021-01-03 07:00:00,XRP/USDT,0.22001000,0.22063000,0.21500000,0.21789000,50796547.00000000,11059802.69961700,20692
1609653600000,2021-01-03 06:00:00,XRP/USDT,0.22100000,0.22238000,0.21862000,0.22000000,31319295.80000000,6906435.69239200,13475
1609650000000,2021-01-03 05:00:00,XRP/USDT,0.22293000,0.22450000,0.21950000,0.22099000,40349136.10000000,8946924.13743900,15575
1609646400000,2021-01-03 04:00:00,XRP/USDT,0.22136000,0.22523000,0.22120000,0.22303000,28223693.40000000,6307256.59148800,11406
1609642800000,2021-01-03 03:00:00,XRP/USDT,0.22211000,0.22256000,0.22070000,0.22133000,24095340.30000000,5339040.52284200,9477
1609639200000,2021-01-03 02:00:00,XRP/USDT,0.21935000,0.22349000,0.21925000,0.22206000,24250618.00000000,5362172.55255000,10451
1609635600000,2021-01-03 01:00:00,XRP/USDT,0.21804000,0.22226000,0.21788000,0.21934000,31541254.40000000,6936725.91938100,13509
1609632000000,2021-01-03 00:00:00,XRP/USDT,0.22064000,0.22118000,0.21718000,0.21804000,33532551.50000000,7334974.34285300,12658
1609628400000,2021-01-02 23:00:00,XRP/USDT,0.22099000,0.22190000,0.21855000,0.22064000,30975805.20000000,6820768.80178200,12386
1609624800000,2021-01-02 22:00:00,XRP/USDT,0.22416000,0.22423000,0.22000000,0.22099000,32260685.50000000,7151470.67347000,14129
1609621200000,2021-01-02 21:00:00,XRP/USDT,0.21775000,0.22920000,0.21084000,0.22417000,96256726.50000000,21366238.47811800,43072
1609617600000,2021-01-02 20:00:00,XRP/USDT,0.22084000,0.22191000,0.21632000,0.21743000,69050993.50000000,15129698.94068500,27831
1609614000000,2021-01-02 19:00:00,XRP/USDT,0.22316000,0.22398000,0.22000000,0.22079000,44725952.70000000,9917706.80357100,17257
1609610400000,2021-01-02 18:00:00,XRP/USDT,0.22321000,0.22535000,0.22108000,0.22318000,50119367.60000000,11181420.50019100,20290
1609606800000,2021-01-02 17:00:00,XRP/USDT,0.22202000,0.22840000,0.22062000,0.22326000,77601314.60000000,17464770.67552000,33635
1609603200000,2021-01-02 16:00:00,XRP/USDT,0.22881000,0.22881000,0.21500000,0.22202000,126205704.70000000,27945664.01892100,48526
1609599600000,2021-01-02 15:00:00,XRP/USDT,0.22817000,0.23000000,0.22725000,0.22875000,31955647.80000000,7307764.59950500,12840
1609596000000,2021-01-02 14:00:00,XRP/USDT,0.23062000,0.23091000,0.22767000,0.22816000,34555782.30000000,7927686.57538900,13069
1609592400000,2021-01-02 13:00:00,XRP/USDT,0.23196000,0.23217000,0.22787000,0.23069000,59991514.70000000,13795844.86819400,22292
1609588800000,2021-01-02 12:00:00,XRP/USDT,0.22760000,0.23350000,0.22569000,0.23197000,62538584.00000000,14398124.56078000,23066
1609585200000,2021-01-02 11:00:00,XRP/USDT,0.22574000,0.22844000,0.22569000,0.22761000,22720635.40000000,5163075.04335100,9407
1609581600000,2021-01-02 10:00:00,XRP/USDT,0.22273000,0.22852000,0.22241000,0.22584000,44314186.30000000,10038867.56627100,16979
1609578000000,2021-01-02 09:00:00,XRP/USDT,0.22789000,0.23000000,0.22150000,0.22281000,73160317.10000000,16470279.16127200,27752
1609574400000,2021-01-02 08:00:00,XRP/USDT,0.23347000,0.23423000,0.22651000,0.22792000,67969193.70000000,15653642.70619700,25579
