https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ADA,Volume USDT,tradecount
1602039600000,2020-10-07 03:00:00,ADA/USDT,0.09140000,0.09181000,0.09071000,0.09091000,6953517.20000000,634289.81109000,1823
1602036000000,2020-10-07 02:00:00,ADA/USDT,0.09074000,0.09166000,0.09053000,0.09137000,6608607.90000000,601978.31857300,2031
1602032400000,2020-10-07 01:00:00,ADA/USDT,0.09162000,0.09180000,0.08934000,0.09073000,17611777.80000000,1590105.07162200,4331
1602028800000,2020-10-07 00:00:00,ADA/USDT,0.09287000,0.09294000,0.09142000,0.09160000,5583453.20000000,513079.98414100,1555
1602025200000,2020-10-06 23:00:00,ADA/USDT,0.09192000,0.09325000,0.09151000,0.09289000,8220945.60000000,759157.80035600,1880
1602021600000,2020-10-06 22:00:00,ADA/USDT,0.09227000,0.09313000,0.09160000,0.09196000,6275204.90000000,579393.64331400,1441
1602018000000,2020-10-06 21:00:00,ADA/USDT,0.09178000,0.09251000,0.09157000,0.09228000,9121867.90000000,840445.20798800,1541
1602014400000,2020-10-06 20:00:00,ADA/USDT,0.09298000,0.09315000,0.09122000,0.09178000,15029299.60000000,1387521.00585100,2590
1602010800000,2020-10-06 19:00:00,ADA/USDT,0.09281000,0.09338000,0.09189000,0.09300000,19419806.30000000,1798982.17501500,3525
1602007200000,2020-10-06 18:00:00,ADA/USDT,0.09495000,0.09542000,0.09254000,0.09286000,12356710.80000000,1159021.25666700,2186
1602003600000,2020-10-06 17:00:00,ADA/USDT,0.09502000,0.09548000,0.09473000,0.09498000,5392607.20000000,512962.42620700,1041
1602000000000,2020-10-06 16:00:00,ADA/USDT,0.09563000,0.09604000,0.09446000,0.09504000,14969972.70000000,1426602.88275000,3126
1601996400000,2020-10-06 15:00:00,ADA/USDT,0.09327000,0.09624000,0.09161000,0.09562000,36474274.10000000,3412282.56586100,7095
1601992800000,2020-10-06 14:00:00,ADA/USDT,0.09360000,0.09416000,0.09286000,0.09323000,18513118.60000000,1729822.27191000,3384
1601989200000,2020-10-06 13:00:00,ADA/USDT,0.09435000,0.09489000,0.09340000,0.09361000,8749450.10000000,825187.02627400,1771
1601985600000,2020-10-06 12:00:00,ADA/USDT,0.09488000,0.09514000,0.09388000,0.09433000,14247398.60000000,1346859.08768300,2640
1601982000000,2020-10-06 11:00:00,ADA/USDT,0.09505000,0.09539000,0.09355000,0.09494000,34175208.80000000,3222791.88561900,6653
1601978400000,2020-10-06 10:00:00,ADA/USDT,0.09715000,0.09724000,0.09503000,0.09509000,12792270.60000000,1226776.78420100,2752
1601974800000,2020-10-06 09:00:00,ADA/USDT,0.09667000,0.09753000,0.09656000,0.09715000,3887584.20000000,377218.51717500,946
1601971200000,2020-10-06 08:00:00,ADA/USDT,0.09669000,0.09702000,0.09628000,0.09670000,10346697.70000000,1000507.68116800,1822
