https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume EOS,Volume USDT,tradecount
1598493600000,2020-08-27 02:00:00,EOS/USDT,3.11310000,3.11370000,3.08180000,3.08620000,590156.90000000,1828779.39308200,4358
1598490000000,2020-08-27 01:00:00,EOS/USDT,3.14050000,3.14170000,3.10750000,3.11250000,484992.09000000,1514254.64765300,3347
1598486400000,2020-08-27 00:00:00,EOS/USDT,3.11790000,3.14800000,3.11610000,3.14040000,457381.78000000,1433701.34655600,3499
1598482800000,2020-08-26 23:00:00,EOS/USDT,3.11850000,3.13930000,3.11210000,3.11790000,336315.15000000,1050578.09108100,2615
1598479200000,2020-08-26 22:00:00,EOS/USDT,3.12430000,3.13330000,3.10890000,3.11820000,221432.10000000,690971.34837400,2394
1598475600000,2020-08-26 21:00:00,EOS/USDT,3.13260000,3.13870000,3.12000000,3.12440000,378263.25000000,1182509.51403600,2224
1598472000000,2020-08-26 20:00:00,EOS/USDT,3.12860000,3.13600000,3.12180000,3.13260000,276508.65000000,864727.71115100,2509
1598468400000,2020-08-26 19:00:00,EOS/USDT,3.13010000,3.13790000,3.12130000,3.12770000,240099.78000000,751069.47683500,2045
1598464800000,2020-08-26 18:00:00,EOS/USDT,3.13900000,3.14760000,3.12310000,3.12940000,409324.94000000,1282503.26738300,2740
1598461200000,2020-08-26 17:00:00,EOS/USDT,3.13350000,3.15820000,3.12790000,3.13890000,616186.07000000,1936089.78926800,4622
1598457600000,2020-08-26 16:00:00,EOS/USDT,3.15470000,3.16730000,3.13050000,3.13450000,852017.08000000,2682325.80714600,6225
1598454000000,2020-08-26 15:00:00,EOS/USDT,3.13390000,3.16000000,3.13260000,3.15530000,542416.09000000,1704905.71975300,4005
1598450400000,2020-08-26 14:00:00,EOS/USDT,3.10750000,3.15270000,3.10510000,3.13440000,994806.70000000,3116961.84541200,7666
1598446800000,2020-08-26 13:00:00,EOS/USDT,3.07930000,3.11700000,3.06040000,3.10750000,707007.39000000,2181425.22027900,6098
1598443200000,2020-08-26 12:00:00,EOS/USDT,3.10330000,3.12420000,3.06170000,3.08010000,806649.29000000,2487616.31144400,6715
1598439600000,2020-08-26 11:00:00,EOS/USDT,3.11210000,3.12650000,3.10160000,3.10330000,408579.98000000,1273152.43995500,3457
1598436000000,2020-08-26 10:00:00,EOS/USDT,3.10940000,3.13960000,3.10940000,3.11160000,363573.60000000,1135496.59926400,3390
1598432400000,2020-08-26 09:00:00,EOS/USDT,3.09930000,3.12840000,3.09620000,3.11000000,403325.32000000,1256331.21960100,3179
1598428800000,2020-08-26 08:00:00,EOS/USDT,3.09100000,3.11620000,3.07910000,3.09870000,445924.06000000,1381372.01519100,3735
1598425200000,2020-08-26 07:00:00,EOS/USDT,3.08330000,3.10610000,3.06170000,3.09050000,432947.41000000,1336520.81991000,3414
1598421600000,2020-08-26 06:00:00,EOS/USDT,3.11740000,3.12030000,3.07570000,3.08250000,671001.60000000,2078325.48207600,4975
1598418000000,2020-08-26 05:00:00,EOS/USDT,3.11780000,3.13320000,3.11590000,3.11730000,555086.25000000,1733773.62491700,3496
1598414400000,2020-08-26 04:00:00,EOS/USDT,3.12940000,3.14710000,3.11320000,3.11820000,472310.72000000,1478701.31086900,3554
1598410800000,2020-08-26 03:00:00,EOS/USDT,3.15130000,3.15580000,3.12070000,3.12800000,429274.52000000,1345668.94214300,3365
1598407200000,2020-08-26 02:00:00,EOS/USDT,3.12740000,3.15210000,3.12720000,3.14960000,533335.16000000,1674780.96658400,3763
1598403600000,2020-08-26 01:00:00,EOS/USDT,3.10150000,3.13970000,3.10150000,3.12690000,550426.46000000,1718494.25420700,3575
1598400000000,2020-08-26 00:00:00,EOS/USDT,3.12030000,3.12300000,3.08780000,3.10110000,788350.43000000,2448475.77141100,5120
1598396400000,2020-08-25 23:00:00,EOS/USDT,3.13590000,3.14550000,3.11940000,3.12060000,388966.37000000,1219213.12204100,3233
1598392800000,2020-08-25 22:00:00,EOS/USDT,3.09940000,3.14230000,3.09770000,3.13510000,433261.44000000,1356087.14145500,3382
1598389200000,2020-08-25 21:00:00,EOS/USDT,3.08150000,3.12000000,3.08010000,3.09870000,225616.53000000,699971.58341700,2245
1598385600000,2020-08-25 20:00:00,EOS/USDT,3.11170000,3.11960000,3.07590000,3.08140000,658431.92000000,2041378.32881100,4971
1598382000000,2020-08-25 19:00:00,EOS/USDT,3.09870000,3.12370000,3.08140000,3.11150000,999644.75000000,3100053.08235000,6478
1598378400000,2020-08-25 18:00:00,EOS/USDT,3.06980000,3.09800000,3.03470000,3.09800000,1473686.69000000,4523109.40013600,8791
1598374800000,2020-08-25 17:00:00,EOS/USDT,3.03340000,3.08500000,3.00590000,3.07070000,3364419.58000000,10277209.52853000,24220
1598371200000,2020-08-25 16:00:00,EOS/USDT,3.23400000,3.24700000,2.95950000,3.03330000,3586581.00000000,11113021.98705700,20805
1598367600000,2020-08-25 15:00:00,EOS/USDT,3.22550000,3.24090000,3.19740000,3.23530000,779989.95000000,2511400.40903800,5403
1598364000000,2020-08-25 14:00:00,EOS/USDT,3.26120000,3.26120000,3.20730000,3.22580000,1410209.93000000,4557414.07832200,9483
1598360400000,2020-08-25 13:00:00,EOS/USDT,3.27260000,3.29420000,3.24380000,3.26080000,755731.46000000,2466906.54410600,5660
1598356800000,2020-08-25 12:00:00,EOS/USDT,3.31240000,3.31450000,3.25900000,3.27250000,1009221.58000000,3306268.38173000,7800
1598353200000,2020-08-25 11:00:00,EOS/USDT,3.32000000,3.32800000,3.30720000,3.31270000,281215.06000000,933339.68004800,2389
1598349600000,2020-08-25 10:00:00,EOS/USDT,3.31280000,3.32730000,3.29550000,3.31850000,332782.86000000,1101719.51376400,2967
1598346000000,2020-08-25 09:00:00,EOS/USDT,3.29560000,3.31420000,3.28820000,3.31240000,313152.90000000,1034558.44881400,2637
1598342400000,2020-08-25 08:00:00,EOS/USDT,3.29860000,3.29950000,3.26590000,3.29470000,633169.87000000,2081189.48358200,5246
1598338800000,2020-08-25 07:00:00,EOS/USDT,3.30990000,3.30990000,3.27040000,3.29840000,554769.08000000,1826918.32689100,4728
1598335200000,2020-08-25 06:00:00,EOS/USDT,3.32360000,3.33080000,3.29120000,3.31000000,535641.86000000,1772681.92921700,4548
1598331600000,2020-08-25 05:00:00,EOS/USDT,3.34380000,3.35060000,3.31880000,3.32280000,243862.35000000,812993.85278900,2484
1598328000000,2020-08-25 04:00:00,EOS/USDT,3.33310000,3.34740000,3.31660000,3.34440000,338959.38000000,1129707.92219600,2725
1598324400000,2020-08-25 03:00:00,EOS/USDT,3.33260000,3.34480000,3.31640000,3.33280000,456714.37000000,1521591.44579200,4226
1598320800000,2020-08-25 02:00:00,EOS/USDT,3.37100000,3.37240000,3.31420000,3.33260000,659010.27000000,2200754.69742500,4904
1598317200000,2020-08-25 01:00:00,EOS/USDT,3.35920000,3.37310000,3.35220000,3.37040000,344068.22000000,1157014.38175400,3088
1598313600000,2020-08-25 00:00:00,EOS/USDT,3.38540000,3.39350000,3.35600000,3.35930000,310360.33000000,1046377.98678600,2848
1598310000000,2020-08-24 23:00:00,EOS/USDT,3.38780000,3.39630000,3.37930000,3.38540000,213136.95000000,722261.37375400,1954
1598306400000,2020-08-24 22:00:00,EOS/USDT,3.38850000,3.39430000,3.38030000,3.38770000,194804.44000000,659802.00404400,1519
1598302800000,2020-08-24 21:00:00,EOS/USDT,3.36510000,3.39750000,3.36340000,3.38850000,216810.28000000,733311.46003800,2125
1598299200000,2020-08-24 20:00:00,EOS/USDT,3.36960000,3.37820000,3.35780000,3.36520000,173045.40000000,582715.31204600,1837
1598295600000,2020-08-24 19:00:00,EOS/USDT,3.35420000,3.37380000,3.33710000,3.36910000,324607.21000000,1089030.84336300,2819
1598292000000,2020-08-24 18:00:00,EOS/USDT,3.37470000,3.37810000,3.34500000,3.35420000,367403.73000000,1233318.57506200,3285
1598288400000,2020-08-24 17:00:00,EOS/USDT,3.38570000,3.38900000,3.34190000,3.37470000,398057.41000000,1341788.70952200,2658
1598284800000,2020-08-24 16:00:00,EOS/USDT,3.37650000,3.40080000,3.35750000,3.38500000,468853.37000000,1586459.15043900,3671
1598281200000,2020-08-24 15:00:00,EOS/USDT,3.35810000,3.37770000,3.35430000,3.37710000,387432.58000000,1303168.31233300,3107
1598277600000,2020-08-24 14:00:00,EOS/USDT,3.38410000,3.38620000,3.35730000,3.35820000,460268.35000000,1552889.53293900,3858
1598274000000,2020-08-24 13:00:00,EOS/USDT,3.38840000,3.39960000,3.38400000,3.38410000,392229.25000000,1330544.51080300,3225
1598270400000,2020-08-24 12:00:00,EOS/USDT,3.40540000,3.41920000,3.38090000,3.38840000,631349.34000000,2146974.00147500,4400
1598266800000,2020-08-24 11:00:00,EOS/USDT,3.39260000,3.42190000,3.39200000,3.40580000,501611.62000000,1708821.84964100,4330
1598263200000,2020-08-24 10:00:00,EOS/USDT,3.39400000,3.40120000,3.38400000,3.39180000,331448.52000000,1124990.38919400,2673
1598259600000,2020-08-24 09:00:00,EOS/USDT,3.40440000,3.40960000,3.37990000,3.39360000,623383.06000000,2115311.65964600,3643
1598256000000,2020-08-24 08:00:00,EOS/USDT,3.38480000,3.40800000,3.38010000,3.40340000,726179.71000000,2465561.68922700,5207
1598252400000,2020-08-24 07:00:00,EOS/USDT,3.39070000,3.40350000,3.37440000,3.38480000,578686.44000000,1959407.96655000,4334
