https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ETC,Volume USDT,tradecount
1602478800000,2020-10-12 05:00:00,ETC/USDT,5.45650000,5.46790000,5.43600000,5.45400000,39025.20000000,212825.59237100,668
1602475200000,2020-10-12 04:00:00,ETC/USDT,5.47800000,5.47800000,5.44210000,5.45650000,32608.10000000,178136.42171500,536
1602471600000,2020-10-12 03:00:00,ETC/USDT,5.45490000,5.48200000,5.44340000,5.48000000,66831.78000000,365580.26014900,1311
1602468000000,2020-10-12 02:00:00,ETC/USDT,5.45210000,5.45800000,5.43090000,5.45680000,28518.07000000,155239.24301800,899
1602464400000,2020-10-12 01:00:00,ETC/USDT,5.42000000,5.47000000,5.40280000,5.45210000,43344.65000000,235890.20048700,919
1602460800000,2020-10-12 00:00:00,ETC/USDT,5.42720000,5.42950000,5.39870000,5.42000000,30074.70000000,162838.46577600,584
1602457200000,2020-10-11 23:00:00,ETC/USDT,5.43780000,5.43780000,5.41800000,5.42800000,22583.01000000,122550.70106900,485
1602453600000,2020-10-11 22:00:00,ETC/USDT,5.40270000,5.44050000,5.38290000,5.43830000,45038.87000000,243910.63967700,880
1602450000000,2020-10-11 21:00:00,ETC/USDT,5.38010000,5.40570000,5.35410000,5.40100000,39576.13000000,212578.90650200,732
1602446400000,2020-10-11 20:00:00,ETC/USDT,5.38600000,5.40400000,5.37420000,5.38020000,21076.20000000,113534.79242000,480
1602442800000,2020-10-11 19:00:00,ETC/USDT,5.42050000,5.43610000,5.37400000,5.38540000,54630.14000000,295541.62084700,1346
1602439200000,2020-10-11 18:00:00,ETC/USDT,5.38580000,5.45000000,5.37880000,5.42150000,105489.55000000,571642.92732400,2039
1602435600000,2020-10-11 17:00:00,ETC/USDT,5.35630000,5.39400000,5.35630000,5.38400000,31159.79000000,167457.87522700,769
1602432000000,2020-10-11 16:00:00,ETC/USDT,5.35000000,5.37620000,5.34080000,5.35890000,95286.23000000,510682.97628300,1376
1602428400000,2020-10-11 15:00:00,ETC/USDT,5.32260000,5.35330000,5.32260000,5.34930000,37796.69000000,201962.70986700,634
1602424800000,2020-10-11 14:00:00,ETC/USDT,5.35070000,5.38280000,5.31800000,5.32180000,60831.46000000,325464.54396600,1229
1602421200000,2020-10-11 13:00:00,ETC/USDT,5.33540000,5.35340000,5.32250000,5.35000000,28285.82000000,150933.01426500,549
1602417600000,2020-10-11 12:00:00,ETC/USDT,5.37950000,5.38420000,5.33140000,5.33420000,67147.63000000,359237.17771400,1087
1602414000000,2020-10-11 11:00:00,ETC/USDT,5.42730000,5.43350000,5.37200000,5.37700000,39557.18000000,213533.97766700,1622
1602410400000,2020-10-11 10:00:00,ETC/USDT,5.34940000,5.43880000,5.34440000,5.42750000,141652.23000000,764578.91359900,2713
1602406800000,2020-10-11 09:00:00,ETC/USDT,5.34200000,5.36470000,5.33210000,5.34780000,37466.66000000,200334.70852100,1219
1602403200000,2020-10-11 08:00:00,ETC/USDT,5.34360000,5.37390000,5.33200000,5.34200000,60712.09000000,324795.43742800,1780
1602399600000,2020-10-11 07:00:00,ETC/USDT,5.34270000,5.37930000,5.33490000,5.34400000,113126.69000000,605785.18645100,1896
1602396000000,2020-10-11 06:00:00,ETC/USDT,5.34380000,5.36200000,5.33030000,5.34480000,28066.52000000,150042.94474500,655
1602392400000,2020-10-11 05:00:00,ETC/USDT,5.31380000,5.34590000,5.30990000,5.34240000,29487.78000000,157269.42278700,732
1602388800000,2020-10-11 04:00:00,ETC/USDT,5.30410000,5.31490000,5.29380000,5.31490000,13727.44000000,72802.79411400,315
1602385200000,2020-10-11 03:00:00,ETC/USDT,5.32160000,5.32180000,5.29480000,5.30280000,13964.87000000,74118.54620900,357
1602381600000,2020-10-11 02:00:00,ETC/USDT,5.31570000,5.32130000,5.30450000,5.32080000,24166.83000000,128412.28284900,865
1602378000000,2020-10-11 01:00:00,ETC/USDT,5.28350000,5.31980000,5.27400000,5.31820000,36720.90000000,194532.13749100,915
1602374400000,2020-10-11 00:00:00,ETC/USDT,5.27260000,5.31790000,5.24670000,5.28230000,117913.45000000,622533.04444900,2326
1602370800000,2020-10-10 23:00:00,ETC/USDT,5.29190000,5.31370000,5.25130000,5.27120000,117944.79000000,621997.01959600,1827
1602367200000,2020-10-10 22:00:00,ETC/USDT,5.30410000,5.30410000,5.28340000,5.29550000,21657.12000000,114590.77836000,395
1602363600000,2020-10-10 21:00:00,ETC/USDT,5.31730000,5.31790000,5.29020000,5.30530000,13519.06000000,71704.28887100,361
1602360000000,2020-10-10 20:00:00,ETC/USDT,5.32600000,5.32690000,5.30980000,5.31790000,17563.07000000,93394.47710100,415
1602356400000,2020-10-10 19:00:00,ETC/USDT,5.33730000,5.33790000,5.31950000,5.32570000,13880.63000000,74001.50576000,327
1602352800000,2020-10-10 18:00:00,ETC/USDT,5.32050000,5.34200000,5.31200000,5.33760000,28386.92000000,151188.26958500,596
1602349200000,2020-10-10 17:00:00,ETC/USDT,5.31010000,5.35600000,5.30880000,5.32330000,43082.20000000,229609.10860200,1057
1602345600000,2020-10-10 16:00:00,ETC/USDT,5.33500000,5.34660000,5.31010000,5.31310000,55360.28000000,294904.18632700,1019
1602342000000,2020-10-10 15:00:00,ETC/USDT,5.36140000,5.38800000,5.32870000,5.33470000,46960.58000000,251773.46053900,880
1602338400000,2020-10-10 14:00:00,ETC/USDT,5.38600000,5.39200000,5.35410000,5.36200000,32128.58000000,172576.81252500,805
1602334800000,2020-10-10 13:00:00,ETC/USDT,5.36570000,5.42780000,5.36340000,5.38540000,97913.76000000,528175.13834300,2599
1602331200000,2020-10-10 12:00:00,ETC/USDT,5.30210000,5.36720000,5.28130000,5.36590000,41703.71000000,221987.24071700,1111
1602327600000,2020-10-10 11:00:00,ETC/USDT,5.30070000,5.31800000,5.28810000,5.30230000,23606.32000000,125127.85150900,443
1602324000000,2020-10-10 10:00:00,ETC/USDT,5.28920000,5.31590000,5.26070000,5.30120000,42879.86000000,226810.28712600,873
1602320400000,2020-10-10 09:00:00,ETC/USDT,5.31370000,5.34410000,5.28210000,5.29040000,63231.01000000,335718.08819700,1605
1602316800000,2020-10-10 08:00:00,ETC/USDT,5.32030000,5.32610000,5.31240000,5.31420000,42954.91000000,228482.23784700,1218
1602313200000,2020-10-10 07:00:00,ETC/USDT,5.28820000,5.33060000,5.28490000,5.32010000,45962.90000000,244232.38046700,1635
1602309600000,2020-10-10 06:00:00,ETC/USDT,5.30600000,5.31000000,5.28810000,5.28970000,62737.08000000,332502.50272000,1599
1602306000000,2020-10-10 05:00:00,ETC/USDT,5.32850000,5.33240000,5.29500000,5.30600000,80203.38000000,426191.86436500,1909
1602302400000,2020-10-10 04:00:00,ETC/USDT,5.38200000,5.39260000,5.32330000,5.32740000,150272.54000000,803753.23924700,2720
1602298800000,2020-10-10 03:00:00,ETC/USDT,5.37350000,5.39450000,5.36910000,5.38200000,113812.83000000,612645.49636600,1545
1602295200000,2020-10-10 02:00:00,ETC/USDT,5.30650000,5.38900000,5.30080000,5.37120000,112554.39000000,603371.34686000,1988
1602291600000,2020-10-10 01:00:00,ETC/USDT,5.29720000,5.31260000,5.27310000,5.30850000,39648.77000000,209834.66703500,680
1602288000000,2020-10-10 00:00:00,ETC/USDT,5.26730000,5.30430000,5.26730000,5.29800000,37827.22000000,200200.93413000,787
1602284400000,2020-10-09 23:00:00,ETC/USDT,5.26660000,5.28180000,5.26290000,5.26740000,40001.79000000,210841.77586600,629
1602280800000,2020-10-09 22:00:00,ETC/USDT,5.26480000,5.27000000,5.25400000,5.26600000,9035.08000000,47547.33632700,166
1602277200000,2020-10-09 21:00:00,ETC/USDT,5.25100000,5.26440000,5.23660000,5.26400000,15870.44000000,83354.96564800,276
1602273600000,2020-10-09 20:00:00,ETC/USDT,5.25170000,5.25850000,5.24200000,5.25240000,36065.10000000,189355.72883800,680
1602270000000,2020-10-09 19:00:00,ETC/USDT,5.25040000,5.25580000,5.22830000,5.25000000,40666.68000000,213071.25943800,842
1602266400000,2020-10-09 18:00:00,ETC/USDT,5.28200000,5.28590000,5.24250000,5.25030000,38238.47000000,201144.61840500,872
1602262800000,2020-10-09 17:00:00,ETC/USDT,5.28880000,5.29600000,5.27010000,5.28000000,29175.35000000,154172.43730000,857
1602259200000,2020-10-09 16:00:00,ETC/USDT,5.30000000,5.31380000,5.28420000,5.28730000,43622.08000000,231028.50010700,827
1602255600000,2020-10-09 15:00:00,ETC/USDT,5.30010000,5.31350000,5.28620000,5.29780000,69654.01000000,368950.11816800,1255
1602252000000,2020-10-09 14:00:00,ETC/USDT,5.28960000,5.32060000,5.28690000,5.29970000,75875.70000000,402324.43344600,1391
1602248400000,2020-10-09 13:00:00,ETC/USDT,5.27200000,5.29550000,5.25600000,5.28800000,61277.69000000,323359.72195800,1307
1602244800000,2020-10-09 12:00:00,ETC/USDT,5.26440000,5.29500000,5.26210000,5.27200000,57074.27000000,301333.30731400,1114
1602241200000,2020-10-09 11:00:00,ETC/USDT,5.25540000,5.29250000,5.25030000,5.26370000,105539.37000000,556805.65333800,2519
1602237600000,2020-10-09 10:00:00,ETC/USDT,5.18430000,5.25870000,5.17800000,5.25600000,133914.09000000,700396.07829800,2085
1602234000000,2020-10-09 09:00:00,ETC/USDT,5.18400000,5.19000000,5.17670000,5.18570000,26019.38000000,134857.68543800,678
1602230400000,2020-10-09 08:00:00,ETC/USDT,5.16710000,5.19500000,5.14740000,5.18610000,84697.40000000,437479.28358600,1334
1602226800000,2020-10-09 07:00:00,ETC/USDT,5.15420000,5.20640000,5.15050000,5.16580000,93447.07000000,483574.92488600,1794
1602223200000,2020-10-09 06:00:00,ETC/USDT,5.14680000,5.16160000,5.13360000,5.15460000,35057.19000000,180622.80071000,572
1602219600000,2020-10-09 05:00:00,ETC/USDT,5.14670000,5.15440000,5.14030000,5.14820000,13359.46000000,68754.87287500,445
1602216000000,2020-10-09 04:00:00,ETC/USDT,5.16610000,5.17040000,5.14300000,5.14560000,27056.23000000,139449.66127200,554
